CarID,Make,Model,Year,VIN,LicensePlate,Color,LeaseStartDate,LeaseEndDate,MonthlyLeaseRate,LeaseStatus,OdometerReading,MaintenanceDueDate,LesseeID,InsurancePolicyNumber,InsuranceExpiryDate,RegistrationExpiryDate,PurchaseDate,PurchasePrice,DepreciationRate,CurrentValue,LeaseDeposit,LeaseTerminationFee,ServiceHistory,DamageHistory,CustomFeatures,LocationID,FleetID,Notes
18,Volkswagen,A4,2021,F9CY874DCLH88482,SBJ022,Purple,9/12/2022,1/13/2023,530,Pending,6512,8/22/2024,6651,POLICY300,4/14/2017,11/12/2021,9/20/2020,15300,0.17,12300,420,720,Transmission serviced,,,3504,3,Good condition
19,Nissan,Model S,2019,D6VW929KLAN80846,HOF506,White,3/27/2021,7/20/2021,440,Ended,1508,7/29/2024,3827,POLICY637,6/8/2020,1/4/2019,2/3/2022,29100,0.24,22300,1080,4650,Suspension checked,,Upgraded audio system,3350,4,Good condition
20,Nissan,F-150,2020,D0NX315PKBV17084,IJS752,Yellow,10/28/2023,12/8/2023,580,Active,959,10/14/2024,1842,POLICY940,6/23/2017,6/16/2019,4/27/2017,24100,0.15,20200,1100,3890,,,GPS navigation,4756,4,
21,Tesla,Silverado,2022,X0XV950RXBR51541,RJF023,Green,10/19/2023,10/27/2023,490,Pending,9443,2/1/2024,6208,POLICY907,10/19/2022,2/23/2017,6/9/2017,23100,0.28,22400,360,1750,,,Safety package,7646,2,
22,Tesla,Civic,2018,E3MZ825TTNK18579,WWK533,White,6/24/2017,9/15/2019,440,Active,612,2/17/2024,7997,POLICY389,5/9/2019,10/22/2021,3/19/2018,19900,0.18,11600,520,4850,Suspension checked,Front windshield replaced,Hybrid model,9342,1,Lease extension possible
23,Honda,C-Class,2022,Z0DY805SXYS08585,LHN170,Black,8/20/2021,9/6/2021,600,Pending,910,10/18/2024,6119,POLICY871,9/7/2020,7/10/2020,10/8/2017,26900,0.19,24300,810,1390,Routine maintenance,,alloy wheels,1723,4,
24,Honda,Corolla,2023,J2TK720BPHX24027,XXL376,Red,5/3/2018,6/1/2021,690,Pending,785,8/28/2024,3279,POLICY212,11/1/2022,8/18/2019,9/25/2018,27200,0.12,15100,1010,1950,Tire rotation,,Sport package,2676,1,Check engine light reported
25,Chevrolet,Corolla,2022,X2JR738MFUT30219,HZC668,Gray,1/5/2017,11/17/2023,260,Pending,6810,6/7/2024,205,POLICY782,2/21/2020,7/4/2018,7/24/2021,29200,0.11,27800,390,3630,,,,4472,5,well maintained
26,Nissan,3 Series,2022,J7AH719FMFE11898,NSU186,Red,10/17/2017,11/9/2018,680,Pending,7718,12/27/2024,2956,POLICY427,1/19/2018,6/20/2018,4/10/2018,27700,0.15,23900,580,4980,Battery replacement,,Sport package,3617,2,New addition to fleet
27,Mercedes-Benz,Silverado,2023,G7XC734BFDV04734,QXL606,Red,6/20/2023,7/23/2023,450,Pending,5817,8/18/2024,5431,POLICY102,4/23/2018,10/30/2019,10/26/2022,16000,0.11,10800,760,3080,Air filter replaced,,Safety package,3375,5,Regular maintenance required
28,Nissan,Golf,2023,M3AS513XRTX45760,LDI031,Blue,7/25/2017,12/7/2021,280,Active,4216,10/30/2024,1740,POLICY429,8/15/2021,5/29/2022,7/16/2021,24900,0.22,20800,940,1140,Oil change,Windshield chip repair,Heated seats,2941,5,Multiple lessees
29,Tesla,3 Series,2023,U6YV384BRWV95059,TGA009,Blue,3/9/2019,3/2/2022,270,Ended,4486,5/31/2024,8871,POLICY391,8/22/2022,8/10/2019,12/25/2018,27000,0.3,10400,760,1720,Battery replacement,,keyless entry,5935,1,
30,Mercedes-Benz,F-150,2020,N9ZT996RGFP07833,ERZ916,White,11/30/2020,11/6/2022,370,Active,8127,2/22/2024,3022,POLICY994,7/4/2023,6/17/2021,7/17/2021,16800,0.23,13900,420,1780,Transmission serviced,,,3315,5,
31,Nissan,Golf,2020,K8HL359DTPD46244,VON123,Silver,2/20/2017,3/2/2023,400,Ended,7829,5/27/2024,2694,POLICY056,9/23/2021,9/19/2022,12/20/2021,25100,0.13,20200,610,3630,Brake system serviced,,Leather seats,6924,5,
32,Volkswagen,3 Series,2020,D5XS835ZRUJ64089,RMA644,Gray,10/23/2021,6/23/2022,300,Active,6566,6/19/2024,6387,POLICY188,10/22/2017,6/19/2019,7/24/2023,25400,0.22,12700,840,1370,Full inspection completed,,Leather seats,6019,5,Due for next service soon
33,Audi,C-Class,2021,A6FK936RTNC74811,VIF807,Red,5/6/2021,1/7/2022,280,Pending,8947,7/12/2024,8634,POLICY169,8/13/2019,4/5/2019,8/3/2019,21100,0.23,14000,530,1310,Battery replacement,,,6376,1,Suitable for colder regions
34,Chevrolet,C-Class,2018,A1VK736NYDB28772,EVE227,White,1/12/2020,6/30/2020,430,Pending,2049,5/15/2024,6027,POLICY632,10/14/2017,2/17/2018,1/17/2018,28500,0.21,14800,1200,4850,,Scratch on hood,Heated seats,6352,4,
35,Nissan,Altima,2017,F4HV325ZSYC26452,TSI970,Orange,3/21/2018,12/2/2022,650,Ended,9207,4/3/2024,2063,POLICY268,9/5/2021,3/10/2021,4/30/2022,28000,0.19,12700,1040,980,AC system overhaul,,,7218,1,Multiple lessees
36,Audi,C-Class,2023,C7RY686TGPZ57070,AIJ861,White,3/28/2020,8/20/2023,330,Pending,112,11/17/2024,2293,POLICY893,8/4/2017,4/1/2018,2/21/2018,24400,0.15,19500,570,3280,Full inspection completed,,,5054,4,New addition to fleet
37,Volkswagen,C-Class,2019,R0EY270PUJP86548,TKS021,Black,8/11/2019,7/6/2021,770,Pending,3229,2/17/2024,9431,POLICY754,2/21/2022,4/28/2019,3/16/2023,23500,0.14,21400,470,3020,,,roof rack,8640,1,
38,Mercedes-Benz,Corolla,2020,P3AD943SBYF09523,KRX764,Red,12/1/2019,1/19/2023,730,Active,2858,10/15/2024,7801,POLICY745,1/20/2017,3/4/2018,11/3/2023,21600,0.23,21100,770,1140,AC system overhaul,,,2089,5,
39,Ford,C-Class,2018,K0TE253SVYF01029,JPB329,Gray,2/21/2017,8/17/2021,550,Pending,9657,3/24/2024,6517,POLICY851,11/14/2021,2/2/2020,12/4/2020,28000,0.3,15700,490,3030,Brake system serviced,Scratch on hood,Sunroof,5355,2,
40,Toyota,C-Class,2020,A5MM769EYKY03022,WDA958,Purple,12/3/2019,12/18/2021,530,Ended,5466,10/17/2024,5544,POLICY506,12/19/2023,11/13/2022,6/14/2017,24700,0.11,20900,1220,3740,Brake system serviced,,Sport package,2915,4,
41,Toyota,C-Class,2018,M4SV835DNMF66517,MQO070,Blue,9/27/2023,12/13/2023,260,Pending,7583,6/12/2024,8255,POLICY231,5/21/2017,9/9/2020,1/24/2022,24200,0.2,20200,340,530,Transmission serviced,,,9735,3,Due for next service soon
42,BMW,Civic,2022,N6YB263RYFE64113,IWI607,Silver,4/5/2020,4/28/2020,500,Pending,9345,9/13/2024,4836,POLICY440,11/23/2021,6/1/2022,10/27/2021,25200,0.26,12400,1270,4230,AC system overhaul,,All-wheel drive,3024,4,
43,BMW,Corolla,2022,V4YC426PSVW00094,TWL387,Gray,12/14/2023,12/31/2023,330,Ended,6977,2/28/2024,5126,POLICY263,4/25/2021,7/26/2023,9/6/2023,25100,0.28,19800,270,3790,,,Hybrid model,5128,3,
44,Volkswagen,Silverado,2021,A6RB397GNNN37152,BQY763,Yellow,10/23/2017,9/27/2018,370,Pending,6403,9/1/2024,5627,POLICY184,7/30/2018,1/10/2021,2/11/2022,25800,0.22,24800,510,4380,,,roof rack,6715,3,
45,BMW,A4,2020,U3YX439XRGR25234,CWO265,Orange,9/30/2022,12/11/2022,420,Pending,2546,7/30/2024,4456,POLICY659,7/22/2017,6/26/2022,9/17/2019,23400,0.29,15300,970,4000,Brake system serviced,,roof rack,9079,1,New addition to fleet
46,Honda,Civic,2023,M6XZ970KUHH48908,UWY143,White,1/24/2023,4/21/2023,510,Pending,5842,8/29/2024,4989,POLICY899,6/7/2019,2/7/2018,7/19/2017,25800,0.22,22400,880,780,,Windshield chip repair,,2403,1,Multiple lessees
47,Nissan,Corolla,2020,N1GM458YAAP66257,ASB135,Blue,2/18/2020,6/9/2023,420,Ended,7004,3/1/2024,7683,POLICY702,9/21/2019,8/29/2022,12/19/2020,22000,0.26,17500,970,2450,Full inspection completed,,,9583,2,
48,Chevrolet,Corolla,2017,C6UC605EGSE28346,RCD001,Red,12/10/2020,8/22/2023,430,Active,1290,2/6/2024,9493,POLICY288,4/10/2021,1/14/2018,9/27/2022,15000,0.13,10400,640,2050,Brake pads,,Heated seats,5887,5,well maintained
49,Toyota,Silverado,2023,W4RC999CGTS49492,DTL517,Yellow,1/20/2017,12/14/2021,600,Active,1145,10/6/2024,1798,POLICY908,10/14/2023,6/9/2017,10/2/2019,22500,0.17,13900,1500,3240,,Minor scratch on door,,4270,5,
50,BMW,Silverado,2020,C6HY666RGTX67926,JVV648,Blue,3/30/2019,10/22/2022,260,Pending,9744,7/1/2024,9190,POLICY108,4/4/2019,9/1/2023,9/27/2022,19400,0.24,14000,1300,1310,Full inspection completed,,GPS navigation,2938,2,
51,Chevrolet,A4,2022,H8DB217DDCC31483,DBW484,Green,10/9/2018,4/12/2022,790,Pending,1338,11/27/2024,5827,POLICY987,5/15/2021,12/30/2020,8/1/2020,20500,0.14,15000,1220,1830,Full inspection completed,Minor scratch on door,Leather seats,4767,2,New addition to fleet
52,Honda,Golf,2021,W8YG825AMYK64037,BVI570,Silver,4/11/2017,12/17/2017,620,Pending,826,3/17/2024,1171,POLICY376,2/13/2022,7/3/2018,1/8/2023,29000,0.3,24700,280,3280,Transmission serviced,,,3900,5,
53,Chevrolet,A4,2020,G9FM227VFEG26231,KLY517,Orange,6/27/2020,11/27/2022,620,Active,7825,8/11/2024,9894,POLICY942,3/9/2019,5/21/2023,11/10/2017,25800,0.3,15300,1090,760,Battery replacement,Minor dents from hail,,4845,2,handle with care
54,BMW,3 Series,2022,S1WK555THMM94114,BRQ505,Red,2/3/2020,12/18/2022,460,Pending,3131,6/26/2024,8030,POLICY526,6/11/2023,6/30/2020,4/25/2019,15500,0.23,12800,1300,1130,Tire rotation,,,2206,3,
55,BMW,3 Series,2020,X7JT306UTEJ39640,SIP274,Red,3/2/2019,11/14/2021,280,Ended,5652,8/25/2024,8201,POLICY072,4/2/2017,11/12/2023,6/8/2018,29200,0.29,21700,210,3380,,Replaced tail light,Leather seats,5519,3,
56,Nissan,Civic,2017,L3FS581RYTZ20035,PWU924,Red,10/21/2020,10/13/2022,480,Ended,8140,3/1/2024,4178,POLICY232,3/9/2019,11/16/2020,2/24/2023,28900,0.29,15300,1280,1950,Oil change,,Hybrid model,7307,4,
57,Volkswagen,Corolla,2020,C7JG167TAWB42020,KCA787,Black,3/17/2020,11/17/2021,620,Active,3692,7/18/2024,145,POLICY402,12/7/2019,5/4/2020,4/7/2021,23500,0.2,10500,260,4520,,Dent on rear quarter panel,Upgraded audio system,8833,4,
58,Tesla,Altima,2020,V6BL457HDTH90364,TJN506,Green,1/7/2022,6/10/2022,370,Active,1433,4/5/2024,7780,POLICY720,2/28/2017,4/30/2023,1/7/2019,29600,0.13,26200,1310,4440,,Minor scratch on door,Leather seats,5719,1,
59,BMW,C-Class,2019,J0GN143YHMD90206,YCV229,Silver,4/5/2020,10/30/2020,550,Ended,7696,9/18/2024,8054,POLICY634,6/24/2019,9/21/2018,8/16/2019,25000,0.19,14800,1270,4490,Full inspection completed,,,7072,3,Multiple lessees
60,Volkswagen,Altima,2017,R1BM713HEJB32156,OFP550,Silver,10/25/2021,11/12/2023,450,Ended,1213,9/24/2024,3135,POLICY572,10/3/2017,8/27/2019,5/8/2018,21300,0.2,17500,690,1750,Brake system serviced,,Premium sound system,1911,5,
61,Nissan,A4,2019,G0JR851SHXT05017,ROU167,Black,9/11/2021,11/4/2023,690,Ended,7577,4/29/2024,5884,POLICY270,7/8/2022,3/10/2022,5/6/2020,17000,0.29,13300,1290,3590,Oil change,,alloy wheels,6890,3,New addition to fleet
62,Honda,F-150,2021,V8JJ900HGLK61516,AOL547,Yellow,4/17/2017,12/11/2020,470,Pending,3013,2/24/2024,3900,POLICY568,8/15/2017,9/7/2018,6/4/2017,22500,0.2,17800,1050,3620,Transmission serviced,Front windshield replaced,Sunroof,3937,5,Good condition
63,Tesla,Corolla,2020,C7MR174HAPA31764,DVD773,Purple,2/22/2021,4/3/2023,500,Active,105,4/2/2024,8603,POLICY996,8/9/2023,8/24/2020,2/16/2023,22100,0.1,14900,620,4410,Brake system serviced,Windshield chip repair,Safety package,2615,4,
64,Toyota,Civic,2023,M1CE067YKNL10194,GHG541,Green,1/8/2020,4/16/2020,360,Active,7260,12/22/2024,2787,POLICY543,6/20/2023,11/29/2023,10/17/2019,17600,0.26,11200,1360,980,Brake system serviced,Dent on rear quarter panel,All-wheel drive,8949,2,
65,Honda,Model S,2022,N6AY675GRFL15761,AEV723,Gray,4/25/2017,4/7/2019,360,Ended,5240,7/10/2024,9079,POLICY998,2/19/2022,3/9/2018,12/2/2018,27700,0.25,16200,1180,3300,Brake pads,,tinted windows,4253,1,
66,Audi,C-Class,2018,N1LD778RCNE84730,PTI991,Silver,1/31/2018,12/2/2023,740,Pending,7348,5/18/2024,9623,POLICY195,2/14/2017,9/6/2017,2/7/2022,16200,0.18,15200,1260,2250,,,keyless entry,7678,2,
67,Toyota,Golf,2017,Z6UZ984RRHC68502,XYA232,Orange,4/12/2020,6/2/2023,300,Ended,5787,5/28/2024,7296,POLICY470,5/12/2022,10/31/2018,7/22/2022,21100,0.24,18700,210,1940,AC system overhaul,Front windshield replaced,roof rack,7043,1,
68,Nissan,3 Series,2021,Z3JX356SXZX64942,VZY753,Black,7/1/2021,12/27/2022,590,Ended,8942,10/7/2024,9391,POLICY006,2/26/2019,5/12/2021,8/13/2023,27600,0.14,14500,470,2450,,,tinted windows,3758,5,
69,Mercedes-Benz,Model S,2023,L0DW981XHRN14282,OFB107,Red,10/6/2019,4/1/2023,320,Pending,8843,10/7/2024,8723,POLICY379,2/19/2021,11/4/2018,3/13/2020,21500,0.12,20400,650,3130,,,,5747,2,Lease extension possible
70,Honda,Silverado,2023,B4ET109DBWH53937,QPV669,Gray,11/6/2022,11/18/2022,250,Pending,5607,5/7/2024,2868,POLICY276,9/21/2021,3/7/2018,2/24/2020,29200,0.16,15600,1180,3200,,,Leather seats,5142,2,
71,Ford,Altima,2019,L1DK619RTWR16990,HPC110,Purple,6/4/2018,7/23/2022,590,Active,6233,6/28/2024,3014,POLICY976,3/29/2020,7/15/2017,3/19/2023,26000,0.19,18900,630,1010,Brake pads,,Upgraded audio system,2538,5,handle with care
72,BMW,Golf,2020,C5XS851ERCW72102,FWN605,Black,11/6/2022,2/25/2023,530,Ended,7074,8/25/2024,8271,POLICY025,6/13/2018,8/5/2018,4/17/2021,17600,0.26,16000,300,2470,New tires installed,Scratch on hood,GPS navigation,1695,1,Premium client
73,BMW,A4,2023,G4DS294ZXBD98120,LEC647,Gray,10/11/2020,7/11/2021,630,Active,5509,2/15/2024,1680,POLICY027,8/14/2020,12/11/2019,7/17/2021,17300,0.27,13500,420,540,Transmission serviced,,Heated seats,3609,5,
74,Ford,Altima,2019,F2YW746PHZV54338,IGH557,Silver,4/4/2023,4/23/2023,530,Ended,3373,6/27/2024,7105,POLICY362,5/17/2017,4/10/2023,4/3/2018,17400,0.29,12800,300,2770,Battery replacement,,roof rack,2037,3,
75,Audi,Altima,2023,A4SW234PATR22475,EQH492,Orange,6/14/2018,11/24/2023,590,Pending,7091,12/12/2024,3655,POLICY545,12/18/2017,2/19/2020,9/22/2021,28700,0.13,19400,620,1980,Suspension checked,,keyless entry,4377,5,
76,Volkswagen,C-Class,2022,E8RE727DHTC43250,MOC777,Yellow,4/11/2018,9/16/2019,790,Ended,8196,11/25/2024,5330,POLICY910,1/16/2017,9/13/2023,10/29/2018,16600,0.24,16400,1110,1930,Transmission serviced,,,9785,5,handle with care
77,Honda,C-Class,2023,T2YF881DTFS06554,STO016,Gray,2/21/2023,9/13/2023,310,Ended,381,8/10/2024,2317,POLICY596,7/4/2018,9/21/2021,5/23/2019,23400,0.28,21200,1100,4840,Oil change,,Premium sound system,2665,5,Regular maintenance required
78,Ford,C-Class,2022,L9AG014UAFW13164,HXI703,Green,11/24/2019,1/29/2022,650,Ended,7947,6/15/2024,9242,POLICY642,10/2/2019,1/28/2022,9/3/2019,21500,0.23,13400,910,3390,Brake pads,,Leather seats,9095,1,
79,Toyota,F-150,2017,U4BD855AKZZ32850,KHP205,Blue,10/25/2019,7/3/2021,750,Pending,6786,4/18/2024,5961,POLICY225,1/29/2018,11/15/2022,7/29/2018,24500,0.17,13500,560,1640,Suspension checked,,tinted windows,5851,4,
80,Audi,Civic,2020,Z2YD338SYPZ20429,PPW593,Blue,12/9/2017,10/18/2018,630,Pending,2625,4/6/2024,4045,POLICY860,7/8/2019,3/25/2019,2/19/2022,26000,0.1,22500,1150,2600,,Small chip in windshield,,8561,2,Regular maintenance required
81,Volkswagen,A4,2020,W9DT491EDPD91130,QSS941,Black,10/21/2023,11/24/2023,370,Active,5046,6/13/2024,1399,POLICY695,1/1/2017,7/9/2017,7/12/2020,28800,0.28,25600,370,1560,Full inspection completed,Minor scratch on door,Heated seats,6774,4,
82,Tesla,A4,2022,B0FJ817TFJD93516,JEN355,Orange,1/2/2023,1/18/2023,600,Active,3774,7/3/2024,1796,POLICY933,2/10/2017,11/3/2020,1/10/2020,23900,0.11,17700,1380,2830,,,All-wheel drive,1392,1,
83,Chevrolet,3 Series,2022,X6LF829JZVX31360,OJO420,Orange,8/27/2021,10/1/2022,450,Ended,8830,6/9/2024,9495,POLICY124,9/14/2018,12/1/2022,1/21/2022,22000,0.17,15200,1210,1650,Routine maintenance,,,5637,4,
84,Chevrolet,C-Class,2021,N9EB548HMLL11700,TLM244,Purple,10/29/2020,5/18/2022,680,Active,9074,6/8/2024,8860,POLICY509,12/16/2023,11/21/2022,12/9/2021,15300,0.28,11000,1210,3320,Full inspection completed,,,4567,3,
85,Audi,C-Class,2020,E9CU442HGSU27257,KXO447,Yellow,8/29/2019,4/13/2022,390,Active,2191,7/22/2024,9820,POLICY828,11/28/2020,10/3/2022,3/14/2017,24500,0.12,10400,210,4640,Transmission serviced,,,8757,1,
86,BMW,Altima,2023,M9WE633TDLG45034,GWC989,Blue,11/4/2019,10/15/2022,620,Pending,7740,3/14/2024,5810,POLICY887,3/11/2022,7/3/2021,2/2/2021,17000,0.2,14000,420,3140,,Replaced tail light,Sport package,1579,1,
87,Tesla,Silverado,2022,C1EJ856ZVVK29539,OYW507,Purple,2/17/2017,9/11/2021,410,Ended,8636,4/4/2024,1304,POLICY744,5/12/2020,8/22/2020,4/29/2020,19100,0.25,15700,260,2100,Transmission serviced,,,2984,3,
88,Mercedes-Benz,F-150,2023,M6AX798TXWB16398,OKX828,Black,1/14/2023,12/22/2023,330,Ended,3408,7/27/2024,3658,POLICY248,5/27/2019,12/26/2023,5/18/2022,29300,0.15,17100,1150,4160,Brake system serviced,,GPS navigation,6747,4,
89,Toyota,Civic,2023,L0XG376BBPG55494,JNG171,Green,3/5/2017,6/26/2019,490,Ended,1956,4/2/2024,888,POLICY136,12/16/2023,4/27/2022,10/19/2021,26500,0.17,25900,690,990,Brake system serviced,Minor dents from hail,,6738,4,Multiple lessees
90,Nissan,3 Series,2017,K5ZJ351PADE42966,GHU101,Red,8/7/2023,10/11/2023,660,Ended,3748,12/11/2024,3569,POLICY712,3/6/2019,3/14/2017,12/2/2018,21400,0.1,11500,330,1400,,,heated seats,4134,1,Due for next service soon
91,Tesla,3 Series,2022,B2GJ894XZDC52665,RNY062,Purple,7/5/2019,11/21/2021,280,Pending,9073,8/9/2024,1021,POLICY942,2/27/2017,3/14/2019,11/29/2023,28300,0.15,26500,1270,3480,Full inspection completed,,Sunroof,6021,3,well maintained
92,Honda,Model S,2019,W4CV298WUYX11943,WTF418,Gray,9/8/2022,11/17/2022,340,Pending,6376,12/31/2024,7954,POLICY661,6/20/2020,7/30/2017,8/5/2019,15700,0.1,15400,1140,3960,Air filter replaced,,backup camera,9402,1,
93,Volkswagen,Altima,2019,H6YH305UHVS04875,JSH905,Yellow,11/24/2023,12/26/2023,490,Pending,9274,5/22/2024,1255,POLICY185,10/14/2018,6/2/2023,1/12/2018,17400,0.22,11800,660,2290,Full inspection completed,,navigation system,4775,2,
94,BMW,Silverado,2021,L7BC478XLNB83776,GKR147,Green,8/14/2021,10/11/2023,500,Ended,9972,1/31/2024,5583,POLICY077,12/24/2023,7/11/2023,10/10/2017,26600,0.3,15700,1170,1000,Transmission serviced,,,4188,3,New addition to fleet
95,Nissan,Golf,2020,U9YK110JEWT71609,KTC894,Green,5/9/2022,12/11/2022,640,Active,3105,7/2/2024,6767,POLICY864,3/2/2023,9/8/2023,9/3/2023,15800,0.12,13800,710,2950,Suspension checked,,keyless entry,3298,3,Lease extension possible
96,Ford,Model S,2017,N7VB800HYHW81564,YKC100,Silver,9/20/2021,12/12/2023,500,Ended,7200,7/31/2024,1995,POLICY667,9/29/2021,12/8/2020,1/4/2017,17100,0.17,13400,540,2440,Battery replacement,Front windshield replaced,roof rack,5396,2,Multiple lessees
97,Ford,3 Series,2020,H9JV107BTDA94994,OXE982,Green,4/24/2021,1/4/2023,300,Ended,59,8/10/2024,2075,POLICY603,5/4/2018,10/11/2023,12/27/2018,17400,0.25,17000,1150,2560,,,blind spot monitor,4961,1,
98,Mercedes-Benz,C-Class,2023,P2HX006UPXN79757,TKR971,Orange,12/14/2021,9/25/2023,310,Ended,9540,10/20/2024,5940,POLICY581,10/19/2022,5/28/2020,6/19/2023,16400,0.14,13200,1020,4670,Air filter replaced,,Upgraded audio system,6009,5,
99,Nissan,Model S,2019,F5MA543XYMM12239,NXK993,Orange,6/3/2021,10/9/2021,450,Ended,732,12/27/2024,5963,POLICY758,8/8/2023,11/12/2022,3/9/2023,20400,0.22,19900,1250,4380,Suspension checked,,,9453,3,well maintained
100,Mercedes-Benz,Corolla,2021,F0XV767FPCW92976,ZYP013,Red,5/1/2019,5/14/2019,360,Ended,547,4/16/2024,4698,POLICY474,8/22/2021,3/9/2022,9/18/2020,19300,0.25,19200,1220,4370,Brake system serviced,,,3116,2,
101,Ford,Silverado,2022,Y1AK730XGFH73339,KEH381,Gray,8/12/2020,5/20/2022,360,Ended,6946,10/18/2024,5717,POLICY987,1/12/2021,2/21/2021,2/9/2021,24100,0.22,22100,940,5000,Brake system serviced,Replaced tail light,roof rack,2547,1,
102,BMW,Model S,2023,F8ED932GCHC77434,DDI932,Purple,5/4/2020,6/1/2022,790,Ended,1580,5/9/2024,8924,POLICY617,11/12/2022,1/18/2022,6/17/2023,20600,0.2,17200,930,3180,Air filter replaced,Windshield chip repair,,2587,2,
